MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202110	8577	7941	6555	2022	0	0	6088	1853	0	0	188	87	0
P02	202110	11981	11345	8303	3678	0	0	7912	3433	0	0	120	113	0
P03	202110	15100	14502	11675	3425	0	0	11208	3294	0	0	177	102	10
P04	202110	22624	21791	13434	8987	203	0	12967	8636	188	0	231	183	0
P05	202110	14404	13785	9590	4712	102	0	9284	4414	87	0	208	105	3
P06	202110	27726	26639	18833	8888	5	0	18274	8360	5	0	273	195	10
P07	202110	9685	9264	6932	2193	558	2	6593	2133	538	0	99	68	25
P08	202110	15339	14759	9913	5317	109	0	9617	5048	94	0	181	83	17
P09	202110	10613	10234	0	10613	0	0	0	10234	0	0	93	53	61
P10	202110	25477	24725	18194	7157	126	0	17700	6921	104	0	138	91	21
P13	202110	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202110	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202110	3611	3507	0	3611	0	0	0	3507	0	0	31	6	15
P22	202110	126	120	0	0	126	0	0	0	120	0	4	3	0
