MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202209	9127	7866	6991	2008	29	99	6084	1753	29	0	213	84	0
P02	202209	12235	11337	8444	3745	0	46	7907	3430	0	0	131	112	0
P03	202209	15116	14422	11753	3363	0	0	11206	3216	0	0	184	103	11
P04	202209	22836	21788	13559	9061	206	10	13014	8598	176	0	257	185	0
P05	202209	20535	19638	10510	9841	169	15	10183	9336	119	0	241	104	35
P06	202209	28583	27238	19525	9000	5	53	18832	8401	5	0	299	195	11
P07	202209	9775	9234	6965	2189	611	10	6571	2104	559	0	103	68	25
P08	202209	15570	14770	10002	5371	113	84	9635	5044	91	0	201	85	17
P09	202209	10709	10261	0	10706	0	3	0	10261	0	0	97	53	60
P10	202209	25612	24733	18208	7200	140	64	17718	6911	104	0	158	91	21
P13	202209	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202209	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202209	3619	3486	0	3619	0	0	0	3486	0	0	31	6	15
P22	202209	131	120	0	0	131	0	0	0	120	0	5	3	0
