MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202202	8530	7882	6550	1980	0	0	6079	1803	0	0	189	87	0
P02	202202	11957	11327	8278	3679	0	0	7898	3429	0	0	119	113	0
P03	202202	15055	14464	11646	3409	0	0	11185	3279	0	0	174	103	11
P04	202202	22598	21774	13417	8978	203	0	12956	8630	188	0	230	184	0
P05	202202	20174	19399	10523	9506	145	0	10209	9074	116	0	226	104	35
P06	202202	28412	27308	19446	8956	5	5	18878	8425	5	0	276	197	11
P07	202202	9694	9254	6933	2198	558	5	6592	2126	536	0	99	68	25
P08	202202	15342	14758	9913	5319	110	0	9621	5046	91	0	181	85	17
P09	202202	10642	10258	0	10642	0	0	0	10258	0	0	93	53	61
P10	202202	25435	24694	18191	7118	126	0	17714	6876	104	0	140	91	21
P13	202202	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202202	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202202	3611	3507	0	3611	0	0	0	3507	0	0	31	6	15
P22	202202	126	120	0	0	126	0	0	0	120	0	4	3	0
