MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202303	9194	7934	6864	2041	39	250	6105	1790	39	0	214	89	2
P02	202303	12238	11335	8448	3740	2	48	7899	3434	2	0	130	113	1
P03	202303	15102	14413	11743	3359	0	0	11199	3214	0	0	186	103	11
P04	202303	22956	21904	13762	8975	209	10	13205	8520	179	0	257	185	0
P05	202303	20328	19440	10342	9802	169	15	10018	9303	119	0	243	104	35
P06	202303	28579	27239	19530	8999	5	45	18841	8393	5	0	297	193	12
P07	202303	9738	9315	6933	2191	609	5	6652	2106	557	0	105	69	25
P08	202303	15561	14766	10016	5368	93	84	9640	5035	91	0	201	85	17
P09	202303	10749	10337	0	10749	0	0	0	10337	0	0	100	53	60
P10	202303	25626	24768	18207	7220	135	64	17733	6931	104	0	161	91	21
P13	202303	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202303	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202303	3622	3487	0	3622	0	0	0	3487	0	0	32	6	15
P22	202303	131	120	0	0	131	0	0	0	120	0	5	3	0
