MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202306	9202	7929	6870	2030	50	252	6101	1778	50	0	214	89	4
P02	202306	12262	11325	8467	3745	2	48	7891	3432	2	0	131	112	1
P03	202306	15098	14422	11738	3360	0	0	11208	3214	0	0	187	103	11
P04	202306	22939	21886	13767	8953	209	10	13212	8495	179	0	257	185	0
P05	202306	20260	19368	10299	9777	169	15	9974	9275	119	0	243	104	35
P06	202306	28936	27525	19615	9271	5	45	18897	8623	5	0	301	198	13
P07	202306	9740	9308	6938	2192	605	5	6660	2095	553	0	105	69	25
P08	202306	15770	14983	10239	5354	93	84	9860	5032	91	0	201	85	17
P09	202306	10739	10320	0	10739	0	0	0	10320	0	0	100	53	60
P10	202306	25634	24779	18215	7220	135	64	17745	6930	104	0	161	91	21
P13	202306	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202306	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202306	3592	3455	0	3592	0	0	0	3455	0	0	32	6	15
P22	202306	131	120	0	0	131	0	0	0	120	0	5	3	0
