MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202207	9115	7857	6988	2026	2	99	6084	1771	2	0	212	85	0
P02	202207	12115	11331	8332	3737	0	46	7910	3421	0	0	131	113	0
P03	202207	15125	14433	11761	3364	0	0	11214	3219	0	0	183	103	11
P04	202207	22786	21739	13509	9042	225	10	12964	8587	188	0	257	185	0
P05	202207	20587	19676	10554	9852	166	15	10223	9337	116	0	241	104	35
P06	202207	28615	27276	19531	9026	5	53	18843	8428	5	0	303	194	11
P07	202207	9769	9229	6979	2197	583	10	6582	2113	534	0	102	68	25
P08	202207	15575	14783	10009	5369	113	84	9648	5044	91	0	200	85	17
P09	202207	10709	10258	0	10706	0	3	0	10258	0	0	97	53	60
P10	202207	25605	24727	18201	7200	140	64	17708	6915	104	0	158	91	21
P13	202207	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202207	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202207	3619	3488	0	3619	0	0	0	3488	0	0	31	6	15
P22	202207	131	120	0	0	131	0	0	0	120	0	5	3	0
