MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202607	9200	7806	6913	1976	57	254	6091	1658	57	0	217	91	3
P02	202607	12210	11360	8504	3647	4	55	8015	3341	4	0	130	110	1
P03	202607	15068	14359	11751	3317	0	0	11201	3158	0	0	203	103	11
P04	202607	22888	21812	13755	8926	197	10	13216	8442	154	0	264	170	15
P05	202607	20205	19345	10260	9767	157	21	9937	9289	119	0	240	106	39
P06	202607	28802	27543	19306	9439	14	43	18679	8850	14	0	299	202	23
P07	202607	9674	9092	7044	2057	546	27	6667	1949	476	0	108	64	21
P08	202607	18908	18009	12735	6038	51	84	12308	5669	32	0	216	87	23
P09	202607	10906	10451	0	10906	0	0	0	10451	0	0	110	56	60
P10	202607	25604	24802	18165	7283	94	62	17720	7012	70	0	162	88	21
P13	202607	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202607	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202607	4012	3799	0	4012	0	0	0	3799	0	0	50	6	18
P22	202607	131	120	0	0	131	0	0	0	120	0	5	3	0
