MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202606	9198	7808	6911	1976	57	254	6093	1658	57	0	218	92	3
P02	202606	12210	11357	8504	3647	4	55	8013	3340	4	0	130	110	1
P03	202606	15108	14393	11791	3317	0	0	11235	3158	0	0	203	103	11
P04	202606	22892	21820	13759	8926	197	10	13220	8446	154	0	264	170	15
P05	202606	20333	19456	10259	9885	168	21	9935	9402	119	0	243	106	39
P06	202606	28799	27538	19396	9346	14	43	18766	8758	14	0	300	200	22
P07	202606	9652	9078	6983	2057	585	27	6617	1949	512	0	108	64	21
P08	202606	18905	18005	12647	6123	51	84	12224	5749	32	0	216	88	23
P09	202606	10915	10463	0	10915	0	0	0	10463	0	0	110	53	57
P10	202606	25607	24804	18169	7282	94	62	17724	7010	70	0	162	88	21
P13	202606	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202606	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202606	3983	3770	0	3983	0	0	0	3770	0	0	48	6	18
P22	202606	131	120	0	0	131	0	0	0	120	0	5	3	0
