MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201909	8629	7993	6494	2104	0	31	6037	1938	0	18	188	90	0
P02	201909	12044	11361	7705	4339	0	0	7335	4026	0	0	118	125	0
P03	201909	14953	14360	10441	4512	0	0	10016	4344	0	0	174	122	0
P04	201909	16331	15635	8599	7503	229	0	8226	7195	214	0	194	141	0
P05	201909	10138	9574	4890	5022	226	0	4698	4670	206	0	191	112	0
P06	201909	21889	20915	13520	8364	5	0	13054	7856	5	0	249	188	0
P07	201909	9717	9292	6918	2219	580	0	6572	2166	554	0	94	95	0
P08	201909	15165	14590	9788	5268	109	0	9488	5008	94	0	175	99	0
P13	201909	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201909	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201909	126	120	0	0	126	0	0	0	120	0	4	3	0
