MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201910	8621	8006	6489	2101	0	31	6040	1948	0	18	188	90	0
P02	201910	12026	11351	7688	4338	0	0	7326	4025	0	0	120	125	0
P03	201910	14918	14322	10458	4460	0	0	10030	4292	0	0	172	122	0
P04	201910	16316	15627	8599	7488	229	0	8229	7184	214	0	194	141	0
P05	201910	10129	9566	4881	5022	226	0	4689	4671	206	0	191	112	0
P06	201910	21879	20907	13520	8354	5	0	13056	7846	5	0	250	188	0
P07	201910	9715	9290	6917	2218	580	0	6571	2165	554	0	94	95	0
P08	201910	14983	14410	9824	5050	109	0	9525	4791	94	0	175	99	0
P13	201910	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201910	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201910	126	120	0	0	126	0	0	0	120	0	4	3	0
