MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202305	9228	7960	6869	2057	50	252	6105	1805	50	0	214	89	4
P02	202305	12259	11327	8466	3743	2	48	7893	3432	2	0	130	112	1
P03	202305	15103	14417	11743	3360	0	0	11202	3215	0	0	187	103	11
P04	202305	22925	21873	13753	8953	209	10	13199	8495	179	0	257	185	0
P05	202305	20302	19415	10341	9777	169	15	10017	9279	119	0	243	104	35
P06	202305	28927	27520	19606	9271	5	45	18894	8621	5	0	301	198	13
P07	202305	9737	9305	6931	2192	609	5	6653	2095	557	0	105	69	25
P08	202305	15550	14765	10016	5357	93	84	9639	5035	91	0	201	85	17
P09	202305	10724	10313	0	10724	0	0	0	10313	0	0	100	53	60
P10	202305	25637	24779	18218	7220	135	64	17745	6930	104	0	161	91	21
P13	202305	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202305	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202305	3622	3486	0	3622	0	0	0	3486	0	0	32	6	15
P22	202305	131	120	0	0	131	0	0	0	120	0	5	3	0
