MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202511	9178	7796	6897	1970	57	254	6077	1662	57	0	218	92	3
P02	202511	12210	11361	8511	3645	4	50	8014	3343	4	0	130	110	1
P03	202511	15114	14412	11796	3318	0	0	11255	3157	0	0	198	103	11
P04	202511	22893	21819	13769	8917	197	10	13222	8444	153	0	264	170	15
P05	202511	20285	19412	10323	9773	168	21	10000	9294	118	0	240	106	38
P06	202511	28982	27441	19595	9330	14	43	18703	8724	14	0	302	198	21
P07	202511	9618	9052	6998	2061	546	13	6620	1956	476	0	106	64	21
P08	202511	18933	18044	12673	6125	51	84	12260	5752	32	0	216	88	23
P09	202511	10812	10369	0	10812	0	0	0	10369	0	0	107	52	57
P10	202511	25605	24806	18162	7287	94	62	17722	7014	70	0	161	90	21
P13	202511	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202511	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202511	3977	3783	0	3977	0	0	0	3783	0	0	48	6	18
P22	202511	131	120	0	0	131	0	0	0	120	0	5	3	0
