MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202308	9215	7931	6891	2022	50	252	6121	1760	50	0	214	88	4
P02	202308	12262	11325	8464	3748	2	48	7889	3434	2	0	131	112	1
P03	202308	15098	14415	11738	3360	0	0	11200	3215	0	0	187	103	11
P04	202308	22904	21851	13751	8934	209	10	13195	8477	179	0	255	185	0
P05	202308	20255	19358	10294	9777	169	15	9966	9274	118	0	243	104	35
P06	202308	28909	27530	19603	9256	5	45	18889	8636	5	0	300	198	13
P07	202308	9721	9290	6928	2172	616	5	6649	2077	564	0	105	66	25
P08	202308	15764	14981	10240	5347	93	84	9862	5028	91	0	201	85	17
P09	202308	10787	10368	0	10787	0	0	0	10368	0	0	100	53	60
P10	202308	25580	24725	18151	7230	135	64	17681	6940	104	0	161	91	21
P13	202308	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202308	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202308	3592	3454	0	3592	0	0	0	3454	0	0	33	6	15
P22	202308	131	120	0	0	131	0	0	0	120	0	5	3	0
