MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202010	8569	7968	6547	2022	0	0	6105	1863	0	0	188	88	0
P02	202010	11989	11356	8249	3740	0	0	7855	3501	0	0	119	113	0
P03	202010	15001	14413	11582	3419	0	0	11124	3289	0	0	175	103	10
P04	202010	22628	21794	13329	9097	202	0	12856	8746	192	0	227	185	0
P05	202010	12719	12135	7377	5240	102	0	7151	4897	87	0	198	117	0
P06	202010	25916	24881	17088	8823	5	0	16577	8299	5	0	267	191	10
P07	202010	9714	9288	6945	2198	569	2	6598	2140	550	0	100	69	25
P08	202010	15020	14443	9865	5046	109	0	9564	4785	94	0	178	83	15
P09	202010	3809	3656	0	3809	0	0	0	3656	0	0	47	66	0
P10	202010	15626	15104	10280	5284	62	0	9966	5078	60	0	88	76	0
P13	202010	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202010	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202010	126	120	0	0	126	0	0	0	120	0	4	3	0
