MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202210	9216	7956	7039	2049	29	99	6128	1799	29	0	213	82	1
P02	202210	12234	11336	8444	3740	2	48	7904	3430	2	0	131	112	0
P03	202210	15119	14431	11756	3363	0	0	11212	3219	0	0	182	103	11
P04	202210	22850	21800	13572	9062	206	10	13025	8599	176	0	257	185	0
P05	202210	20511	19613	10509	9818	169	15	10182	9311	120	0	242	104	35
P06	202210	28601	27252	19535	9008	5	53	18838	8409	5	0	299	195	11
P07	202210	9778	9235	6968	2189	611	10	6572	2104	559	0	105	68	25
P08	202210	15572	14794	10005	5371	112	84	9638	5045	111	0	201	85	17
P09	202210	10735	10284	0	10732	0	3	0	10284	0	0	101	53	60
P10	202210	25625	24749	18203	7220	138	64	17717	6928	104	0	158	91	21
P13	202210	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202210	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202210	3622	3487	0	3622	0	0	0	3487	0	0	31	6	15
P22	202210	131	120	0	0	131	0	0	0	120	0	5	3	0
