Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202601	P01	5509	164	3655	0	0	285	163	2016	11507
P00202601	P02	10614	164	1823	0	0	213	55	2752	15408
P00202601	P03	15195	189	1230	0	0	189	0	3940	20554
P00202601	P04	18948	228	1554	0	0	195	0	5767	26497
P00202601	P05	10459	59	428	0	0	160	1	3476	14423
P00202601	P05.1	1210	79	604	0	0	16	0	144	2037
P00202601	P05.2	974	42	130	0	0	9	0	130	1276
P00202601	P05.3	221	10	73	0	0	3	0	26	330
P00202601	P05.4	765	33	226	0	0	10	0	116	1140
P00202601	P05.5	303	6	37	0	0	3	0	79	425
P00202601	P05.6	2225	64	150	0	0	9	0	372	2811
P00202601	P06	22755	340	2100	0	0	346	1	7502	32698
P00202601	P07	9580	138	940	0	0	135	0	2224	12882
P00202601	P08	7539	40	283	0	0	124	4	2836	10702
P00202601	P08.1	1040	34	463	0	0	21	0	114	1651
P00202601	P08.2	1694	77	412	0	0	7	0	245	2428
P00202601	P08.3	4239	100	313	0	0	20	0	1288	5940
P00202601	P09	4551	24	153	0	0	46	235	1358	6321
P00202601	P09.1	2359	86	300	0	0	15	0	258	3003
P00202601	P09.2	3713	97	211	0	0	13	0	896	4917
P00202601	P10	15726	110	504	0	0	152	7	5254	21601
P00202601	P10.1	3461	220	712	0	0	34	0	439	4832
P00202601	P10.2	1001	51	130	0	0	7	0	198	1380
P00202601	P10.3	1625	122	272	0	0	12	0	279	2298
P00202601	P10.4	1449	87	234	0	0	13	0	230	2000
P00202601	P18	715	0	14	0	0	7	17	200	946
P00202601	P18.1	2831	45	190	0	0	10	66	678	3810
P00202601	P18.2	276	16	14	0	0	1	0	8	314
P00202601	P18.3	74	3	3	0	0	0	0	3	83
