Season	Oblast	POP_R	POP_V	POP_A	POP_ER	POP_EA	POP_C	POP_O	POP_S	XSUM
P00202602	P01	5538	170	3700	90	217	0	164	2018	11590
P00202602	P02	10560	159	1861	152	78	0	57	2746	15383
P00202602	P03	15196	193	1264	166	41	0	0	3954	20607
P00202602	P04	19031	233	1574	160	64	0	0	5773	26611
P00202602	P05	10416	64	430	151	24	0	1	3501	14412
P00202602	P05.1	1201	78	600	7	12	0	0	144	2023
P00202602	P05.2	978	43	133	6	3	0	0	129	1283
P00202602	P05.3	208	11	72	1	3	0	0	26	317
P00202602	P05.4	769	33	229	3	7	0	0	116	1147
P00202602	P05.5	305	6	37	0	3	0	0	79	427
P00202602	P05.6	2137	65	147	7	4	0	0	359	2708
P00202602	P06	22819	349	2134	292	92	0	1	7524	32827
P00202602	P07	9622	138	929	99	46	0	0	2210	12899
P00202602	P08	7557	40	295	113	31	0	4	2849	10745
P00202602	P08.1	1033	35	473	8	13	0	0	119	1660
P00202602	P08.2	1696	77	415	4	3	0	0	247	2435
P00202602	P08.3	4241	102	325	14	10	0	0	1281	5949
P00202602	P09	4576	27	156	41	11	0	242	1368	6369
P00202602	P09.1	2376	85	299	13	3	0	0	259	3019
P00202602	P09.2	3719	93	207	12	3	0	0	894	4913
P00202602	P10	15785	108	502	140	31	0	7	5260	21662
P00202602	P10.1	3468	222	712	18	17	0	0	439	4841
P00202602	P10.2	1013	50	136	3	4	0	0	200	1399
P00202602	P10.3	1620	118	272	11	4	0	0	274	2284
P00202602	P10.4	1437	87	237	4	9	0	0	232	1993
P00202602	P18	719	0	13	6	1	0	17	202	951
P00202602	P18.1	2836	47	187	9	1	0	66	678	3814
P00202602	P18.2	281	17	16	1	0	0	0	8	322
P00202602	P18.3	71	4	2	0	0	0	0	3	80
