Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00-202302	P0	0	0	0	0	2473	19279	7837	2801	32391
P01-202302	P1	5581	106	2717	1217	0	35	186	1825	11667
P02-202302	P2	10143	106	1614	227	0	33	75	2679	14877
P03-202302	P3	14671	175	1056	168	0	13	0	3801	19884
P04-202302	P4	17523	188	1355	279	0	31	0	5364	24742
P05-202302	P5	8787	40	317	35	0	31	1	3039	12251
P05-202302	P5.1	1311	61	569	42	0	0	0	143	2126
P05-202302	P5.2	1024	43	139	13	0	0	0	131	1350
P05-202302	P5.3	239	13	66	5	0	0	0	27	350
P05-202302	P5.4	829	38	166	19	0	0	0	121	1173
P05-202302	P5.5	317	6	14	0	0	0	0	82	419
P05-202302	P5.6	2141	61	145	13	0	0	0	353	2713
P06-202302	P6	21024	258	1642	157	0	32	1	7097	30212
P07-202302	P7	9347	96	773	118	0	7	0	2248	12589
P08-202302	P8	5127	12	128	36	0	36	5	2389	7733
P08-202302	P8.1	1132	24	334	30	0	0	0	125	1645
P08-202302	P8.2	1090	37	127	53	0	0	1	186	1494
P08-202302	P8.3	4083	70	221	22	0	0	0	1398	5794
P09-202302	P9	4132	27	181	42	0	8	190	1305	5885
P09-202302	P9.1	1879	52	263	42	0	0	0	236	2472
P09-202302	P9.2	3516	85	186	35	0	0	0	986	4808
P0X-202302	Enum	24951	1978	1924	263	5	8	149	6982	38614
