Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202110	P01	5600	107	2631	1163	0	155	180	1804	11640
P00202110	P02	10018	109	1514	233	0	93	69	2616	14653
P00202110	P03	14350	168	1001	172	0	72	0	3764	19527
P00202110	P04	17371	209	1286	265	0	145	0	5155	24433
P00202110	P05	6275	29	224	23	0	80	0	2220	8854
P00202110	P05.1	1347	63	534	45	0	0	0	159	2148
P00202110	P05.2	1146	48	150	24	0	0	0	147	1515
P00202110	P05.3	68	1	24	0	0	0	0	10	103
P00202110	P05.4	873	33	169	25	0	0	0	118	1218
P00202110	P05.5	339	10	22	0	0	0	0	86	457
P00202110	P05.6	39	0	4	0	0	0	0	6	49
P00202110	P06	20560	238	1468	126	0	122	1	6745	29265
P00202110	P07	9236	93	739	99	0	33	0	2195	12396
P00202110	P08	4925	12	101	29	0	87	7	2348	7510
P00202110	P08.1	1153	24	330	32	0	0	0	131	1670
P00202110	P08.2	1109	32	128	22	0	0	1	191	1483
P00202110	P08.3	4203	60	226	28	0	0	0	1484	6001
P00202110	P09	4340	40	225	40	0	18	159	1324	6146
P00202110	P09.1	1474	44	182	20	0	0	0	208	1928
P00202110	P09.2	3235	85	183	34	0	0	0	993	4530
P00202110	P10	13079	80	433	65	0	16	6	4373	18052
P00202110	P10.1	3525	213	662	71	0	0	0	438	4909
P00202110	P10.2	1138	50	135	34	0	0	0	208	1565
P00202110	P10.3	1636	115	296	51	0	0	0	299	2397
P00202110	P10.4	1441	78	197	37	0	0	0	290	2043
P00202110	P18	480	1	7	4	0	2	13	168	675
P00202110	P18.1	2712	55	139	29	0	0	34	660	3629
P00202110	P18.2	48	1	3	1	0	0	0	2	55
P00202110	P18.3	45	1	3	0	0	0	0	1	50
