Season	Oblast	POP_R	POP_V	POP_A	POP_ER	POP_EA	POP_C	POP_O	POP_S	XSUM
P00202605	P00	54	0	104	54	104	0	0	0	158
P00202605	P01	5528	167	3713	109	224	0	167	2024	11599
P00202605	P02	10514	168	1845	180	72	0	56	2748	15331
P00202605	P03	15111	183	1270	174	51	0	0	3955	20519
P00202605	P04	19207	224	1571	177	69	0	0	5831	26833
P00202605	P05	10593	62	447	187	27	0	1	3525	14628
P00202605	P05.1	1192	77	597	8	14	0	0	145	2011
P00202605	P05.2	962	44	137	6	5	0	0	133	1276
P00202605	P05.3	205	12	66	1	2	0	0	24	307
P00202605	P05.4	761	34	232	5	7	0	0	118	1145
P00202605	P05.5	313	8	36	0	3	0	0	75	432
P00202605	P05.6	2145	69	141	5	6	0	0	363	2718
P00202605	P06	22952	343	2168	336	87	0	0	7561	33024
P00202605	P07	9522	141	906	109	53	0	0	2187	12756
P00202605	P08	7662	41	318	125	36	0	4	2856	10881
P00202605	P08.1	1035	38	477	10	16	0	0	119	1669
P00202605	P08.2	1651	70	380	4	8	0	0	232	2333
P00202605	P08.3	4240	93	334	15	10	0	0	1287	5954
P00202605	P09	4564	28	155	46	16	0	237	1366	6350
P00202605	P09.1	2372	92	292	15	6	0	0	256	3012
P00202605	P09.2	3638	87	206	11	3	0	0	861	4792
P00202605	P10	16041	105	526	182	32	0	6	5272	21950
P00202605	P10.1	3445	217	710	21	19	0	0	445	4817
P00202605	P10.2	1011	47	131	2	5	0	0	195	1384
P00202605	P10.3	1645	119	272	12	6	0	0	272	2308
P00202605	P10.4	1463	88	242	6	8	0	0	237	2030
P00202605	P18	731	0	13	6	0	0	18	204	966
P00202605	P18.1	2739	45	172	14	2	0	68	663	3687
P00202605	P18.2	279	16	15	2	0	0	0	10	320
P00202605	P18.3	77	4	3	0	0	0	0	3	87
P00202605	P32	0	0	0	0	0	0	0	1	1
