Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00-202303	P0	0	0	0	0	2662	20238	7814	2843	33558
P01-202303	P1	5590	104	2719	1254	0	34	186	1826	11713
P02-202303	P2	10160	104	1626	256	0	33	73	2675	14927
P03-202303	P3	14667	172	1044	183	0	10	0	3821	19897
P04-202303	P4	17655	189	1365	273	0	24	0	5388	24896
P05-202303	P5	8904	41	320	39	0	25	1	3073	12404
P05-202303	P5.1	1324	58	568	44	0	0	0	144	2138
P05-202303	P5.2	1043	43	139	15	0	0	0	136	1376
P05-202303	P5.3	249	13	66	6	0	0	0	30	364
P05-202303	P5.4	824	35	176	21	0	0	0	122	1178
P05-202303	P5.5	318	7	17	0	0	0	0	81	423
P05-202303	P5.6	2167	64	149	13	0	0	0	360	2753
P06-202303	P6	21190	262	1680	157	0	27	1	7126	30443
P07-202303	P7	9379	101	785	130	0	7	0	2242	12644
P08-202303	P8	5213	12	130	35	0	34	5	2421	7850
P08-202303	P8.1	1131	23	346	31	0	0	0	126	1657
P08-202303	P8.2	1083	37	129	53	0	0	1	188	1491
P08-202303	P8.3	4134	71	220	22	0	0	0	1409	5856
P09-202303	P9	4050	22	172	40	0	6	188	1285	5763
P09-202303	P9.1	1891	53	264	40	0	0	0	242	2490
P09-202303	P9.2	3550	88	185	31	0	0	0	989	4843
P0X-202303	Enum	25218	2039	1939	269	6	8	152	7032	39015
