Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202006	P01	5664	103	2562	1007	0	516	149	1722	11723
P00202006	P02	9891	86	1380	189	0	203	62	2614	14425
P00202006	P03	14060	110	876	177	0	139	0	3610	18973
P00202006	P04	16745	215	1330	273	0	285	0	4895	23743
P00202006	P05	5438	22	182	18	0	188	0	1957	7806
P00202006	P05.1	1458	69	504	39	0	0	0	169	2239
P00202006	P05.2	1053	44	109	18	0	0	0	133	1357
P00202006	P05.3	75	0	22	0	0	0	0	10	107
P00202006	P05.4	965	29	182	27	0	0	0	140	1343
P00202006	P05.5	374	11	22	0	0	0	0	100	507
P00202006	P05.6	48	0	4	0	0	0	0	9	61
P00202006	P06	19919	196	1348	116	0	253	1	6427	28262
P00202006	P07	9035	82	632	98	0	91	0	2136	12074
P00202006	P08	4665	5	112	21	0	174	5	2299	7281
P00202006	P08.1	1128	20	330	39	0	0	0	136	1653
P00202006	P08.2	1199	25	128	76	0	0	1	178	1607
P00202006	P08.3	4264	60	225	28	0	0	0	1522	6099
P00202006	P09	2901	43	255	37	0	19	41	559	3855
