Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202108	P01	5502	106	2562	1186	0	170	179	1777	11482
P00202108	P02	9897	110	1453	213	0	104	68	2571	14418
P00202108	P03	14252	152	957	184	0	78	0	3737	19360
P00202108	P04	17089	211	1283	266	0	155	0	5066	24072
P00202108	P05	6215	24	213	24	0	90	0	2200	8768
P00202108	P05.1	1387	64	531	45	0	0	0	167	2194
P00202108	P05.2	1149	50	153	27	0	0	0	148	1527
P00202108	P05.3	70	0	21	0	0	0	0	9	100
P00202108	P05.4	873	34	179	24	0	0	0	124	1234
P00202108	P05.5	354	12	22	0	0	0	0	91	479
P00202108	P05.6	42	0	2	0	0	0	0	7	51
P00202108	P06	20649	231	1448	132	0	134	1	6814	29415
P00202108	P07	9142	84	703	97	0	42	0	2171	12240
P00202108	P08	4856	9	98	29	0	96	7	2332	7428
P00202108	P08.1	1147	21	321	35	0	0	0	129	1653
P00202108	P08.2	1119	34	127	20	0	0	1	182	1483
P00202108	P08.3	4176	57	226	29	0	0	0	1487	5975
P00202108	P09	4331	47	224	36	0	19	153	1303	6113
P00202108	P09.1	1359	44	170	23	0	0	0	206	1802
P00202108	P09.2	3187	89	184	34	0	0	0	969	4463
P00202108	P10	12909	90	430	67	0	20	6	4279	17801
P00202108	P10.1	3487	211	645	69	0	0	0	435	4847
P00202108	P10.2	1112	48	134	35	0	0	0	204	1533
P00202108	P10.3	1758	131	320	52	0	0	0	363	2624
P00202108	P10.4	1368	78	177	38	0	0	0	266	1927
P00202108	P18	470	1	7	4	0	2	13	163	660
P00202108	P18.1	2663	58	142	31	0	0	34	650	3578
P00202108	P18.2	49	1	2	1	0	0	0	2	55
P00202108	P18.3	44	1	3	0	0	0	0	1	49
