Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202508	P01	5451	143	3389	0	0	0	161	1952	11096
P00202508	P02	10424	141	1698	0	0	0	64	2729	15056
P00202508	P03	15098	179	1175	0	0	0	0	3929	20381
P00202508	P04	18695	204	1475	0	0	0	0	5666	26040
P00202508	P05	10138	50	386	0	0	0	1	3421	13996
P00202508	P05.1	1259	67	592	0	0	0	0	142	2060
P00202508	P05.2	994	40	140	0	0	0	0	138	1312
P00202508	P05.3	228	11	61	0	0	0	0	28	328
P00202508	P05.4	801	36	212	0	0	0	0	124	1173
P00202508	P05.5	314	5	38	0	0	0	0	80	437
P00202508	P05.6	2186	60	141	0	0	0	0	368	2755
P00202508	P06	22623	300	1981	0	0	0	1	7526	32431
P00202508	P07	9505	129	893	0	0	0	0	2218	12745
P00202508	P08	7223	32	233	0	0	0	3	2809	10300
P00202508	P08.1	1084	28	440	0	0	0	0	112	1664
P00202508	P08.2	1682	75	390	0	0	0	0	245	2392
P00202508	P08.3	4376	98	316	0	0	0	0	1330	6120
P00202508	P09	4341	21	151	0	0	0	211	1331	6055
P00202508	P09.1	2275	79	282	0	0	0	0	262	2898
P00202508	P09.2	3659	87	205	0	0	0	0	901	4852
P00202508	P10	15323	99	472	0	0	0	7	5222	21123
P00202508	P10.1	3464	216	730	0	0	0	0	432	4842
P00202508	P10.2	1049	50	135	0	0	0	0	198	1432
P00202508	P10.3	1656	120	295	0	0	0	0	293	2364
P00202508	P10.4	1417	77	204	0	0	0	0	236	1934
P00202508	P18	681	0	11	0	0	0	14	192	898
P00202508	P18.1	2761	45	171	0	0	0	64	669	3710
P00202508	P18.2	272	16	17	0	0	0	0	5	310
P00202508	P18.3	66	1	5	0	0	0	0	3	75
