Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202112	P01	5595	111	2632	1094	0	147	183	1811	11573
P00202112	P02	10048	106	1553	218	0	80	70	2608	14684
P00202112	P03	14400	154	989	155	0	59	0	3748	19505
P00202112	P04	17537	206	1294	267	0	137	0	5176	24621
P00202112	P05	6472	31	221	22	0	82	0	2287	9118
P00202112	P05.1	1336	62	552	41	0	0	0	162	2153
P00202112	P05.2	1135	44	149	24	0	0	0	145	1497
P00202112	P05.3	69	1	25	0	0	0	0	9	104
P00202112	P05.4	883	35	169	27	0	0	0	121	1235
P00202112	P05.5	345	9	22	0	0	0	0	88	464
P00202112	P05.6	39	0	4	0	0	0	0	6	49
P00202112	P06	20838	234	1490	164	0	117	1	6776	29625
P00202112	P07	9244	94	744	90	0	34	0	2202	12409
P00202112	P08	4895	12	100	29	0	83	7	2320	7447
P00202112	P08.1	1129	25	320	28	0	0	0	128	1630
P00202112	P08.2	1066	32	123	25	0	0	1	186	1433
P00202112	P08.3	4085	59	223	23	0	0	0	1426	5816
P00202112	P09	4414	42	222	35	0	18	160	1320	6211
P00202112	P09.1	1514	50	190	23	0	0	0	212	1989
P00202112	P09.2	3308	84	179	37	0	0	0	1012	4620
P00202112	P10	13340	80	449	56	0	16	8	4505	18454
P00202112	P10.1	3553	217	692	73	0	0	0	446	4981
P00202112	P10.2	1034	49	124	30	0	0	0	184	1421
P00202112	P10.3	1660	115	296	48	0	0	0	304	2423
P00202112	P10.4	1486	82	202	38	0	0	0	300	2108
P00202112	P18	498	1	7	4	0	2	13	172	697
P00202112	P18.1	2752	59	141	27	0	0	34	662	3675
P00202112	P18.2	50	1	3	1	0	0	0	2	57
P00202112	P18.3	49	1	3	0	0	0	0	1	54
