Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202206	P01	5658	116	2657	1257	0	112	181	1845	11826
P00202206	P02	10169	104	1592	224	0	72	74	2643	14879
P00202206	P03	14562	161	1039	161	0	42	0	3782	19747
P00202206	P04	17749	206	1323	278	0	110	0	5286	24956
P00202206	P05	8625	49	295	37	0	73	1	2918	12001
P00202206	P05.1	1361	65	562	51	0	0	0	158	2197
P00202206	P05.2	1083	46	151	15	0	0	0	137	1432
P00202206	P05.3	230	14	66	5	0	0	0	33	348
P00202206	P05.4	877	33	173	23	0	0	0	126	1232
P00202206	P05.5	340	9	18	0	0	0	0	86	453
P00202206	P05.6	2143	64	142	12	0	0	0	343	2704
P00202206	P06	21268	248	1555	178	0	103	1	7017	30375
P00202206	P07	9280	102	745	96	0	27	0	2233	12484
P00202206	P08	5071	14	130	32	0	70	8	2341	7667
P00202206	P08.1	1132	24	368	32	0	0	0	131	1687
P00202206	P08.2	1087	31	131	48	0	0	1	188	1486
P00202206	P08.3	4101	69	214	24	0	0	0	1459	5867
P00202206	P09	3981	27	192	45	0	9	159	1269	5682
P00202206	P09.1	1701	53	236	38	0	0	0	230	2258
P00202206	P09.2	3282	79	183	22	0	0	0	955	4521
P00202206	P10	13960	77	471	59	0	15	10	4761	19353
P00202206	P10.1	3655	220	731	69	0	0	0	462	5137
P00202206	P10.2	1062	49	125	31	0	0	0	199	1466
P00202206	P10.3	1693	121	317	48	0	0	0	315	2494
P00202206	P10.4	1575	84	227	38	0	0	0	309	2233
P00202206	P18	455	3	4	4	0	1	9	163	639
P00202206	P18.1	2666	50	139	28	0	0	36	655	3574
P00202206	P18.2	50	1	2	1	0	0	0	2	56
P00202206	P18.3	49	1	3	0	0	0	0	1	54
