Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00201906	P01	5495	90	2238	1072	0	27	187	1617	10726
P00201906	P02	9691	92	1299	206	0	12	56	2486	13842
P00201906	P03	13240	93	762	186	0	7	1	3458	17747
P00201906	P04	13035	183	998	195	0	29	0	3781	18221
P00201906	P05	4190	14	142	19	0	11	0	1567	5943
P00201906	P05.1	1487	65	496	38	0	0	0	181	2267
P00201906	P05.2	684	15	92	7	0	0	0	103	901
P00201906	P05.3	83	0	19	0	0	0	0	9	111
P00201906	P05.4	643	19	133	18	0	0	0	104	917
P00201906	P05.5	394	11	19	0	0	0	0	97	521
P00201906	P05.6	49	0	5	0	0	0	0	8	62
P00201906	P06	17627	150	1103	102	0	13	1	5700	24696
P00201906	P07	8573	63	504	100	0	2	0	2070	11312
P00201906	P08	4445	8	105	22	0	7	5	2183	6775
P00201906	P08.1	1107	17	297	45	0	0	0	129	1595
P00201906	P08.2	1186	21	112	72	0	0	0	177	1568
P00201906	P08.3	4218	58	217	27	0	0	0	1513	6033
