Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202007	P01	5651	102	2570	1122	0	544	149	1733	11871
P00202007	P02	9917	87	1379	194	0	208	61	2636	14482
P00202007	P03	14106	117	887	177	0	146	0	3629	19063
P00202007	P04	16940	216	1341	278	0	293	0	4950	24018
P00202007	P05	5526	21	181	19	0	193	0	1969	7910
P00202007	P05.1	1469	66	509	38	0	0	0	167	2249
P00202007	P05.2	1064	44	104	18	0	0	0	133	1363
P00202007	P05.3	75	0	22	0	0	0	0	10	107
P00202007	P05.4	967	31	181	23	0	0	0	138	1340
P00202007	P05.5	375	11	21	0	0	0	0	98	505
P00202007	P05.6	47	0	2	0	0	0	0	9	58
P00202007	P06	19987	195	1342	114	0	258	1	6478	28377
P00202007	P07	9080	83	640	98	0	92	0	2143	12136
P00202007	P08	4675	6	113	21	0	185	5	2305	7310
P00202007	P08.1	1146	19	337	40	0	0	0	136	1678
P00202007	P08.2	1217	24	133	76	0	0	1	181	1632
P00202007	P08.3	4286	61	222	27	0	0	0	1527	6123
P00202007	P09	2948	44	264	37	0	20	41	568	3922
