Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202506	P01	5500	138	3364	0	0	1	159	1920	11082
P00202506	P02	10349	135	1730	0	0	0	64	2714	14992
P00202506	P03	15036	185	1171	0	0	0	0	3944	20336
P00202506	P04	18820	199	1485	0	0	1	0	5705	26210
P00202506	P05	10012	45	384	0	0	1	1	3383	13826
P00202506	P05.1	1261	71	587	0	0	0	0	141	2060
P00202506	P05.2	1006	42	142	0	0	0	0	137	1327
P00202506	P05.3	221	11	59	0	0	0	0	27	318
P00202506	P05.4	808	36	205	0	0	0	0	123	1172
P00202506	P05.5	314	6	38	0	0	0	0	81	439
P00202506	P05.6	2188	57	145	0	0	0	0	370	2760
P00202506	P06	22444	288	1973	0	0	0	1	7511	32217
P00202506	P07	9430	121	897	0	0	0	0	2221	12669
P00202506	P08	7090	33	230	0	0	0	4	2786	10143
P00202506	P08.1	1097	29	449	0	0	0	0	111	1686
P00202506	P08.2	1639	74	382	0	0	0	0	243	2338
P00202506	P08.3	4337	97	315	0	0	0	0	1327	6076
P00202506	P09	4240	21	149	0	0	0	213	1317	5940
P00202506	P09.1	2239	78	276	0	0	0	0	262	2855
P00202506	P09.2	3624	91	213	0	0	0	0	895	4823
P00202506	P10	15300	94	476	0	0	0	7	5262	21139
P00202506	P10.1	3535	216	761	0	0	0	0	438	4950
P00202506	P10.2	1047	51	132	0	0	0	0	202	1432
P00202506	P10.3	1655	120	289	0	0	0	0	292	2356
P00202506	P10.4	1453	80	220	0	0	0	0	253	2006
P00202506	P18	666	0	13	0	0	0	14	193	886
P00202506	P18.1	2781	49	169	0	0	0	64	657	3720
P00202506	P18.2	265	13	15	0	0	0	0	5	298
P00202506	P18.3	68	1	4	0	0	0	0	3	76
