Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202511	P01	5387	149	3385	0	0	0	162	1956	11039
P00202511	P02	10390	151	1729	0	0	0	61	2730	15061
P00202511	P03	15022	183	1198	0	0	0	0	3951	20354
P00202511	P04	18731	213	1468	0	0	0	0	5700	26112
P00202511	P05	10212	57	402	0	0	0	1	3456	14128
P00202511	P05.1	1202	76	596	0	0	0	0	142	2016
P00202511	P05.2	966	42	139	0	0	0	0	134	1281
P00202511	P05.3	218	10	70	0	0	0	0	26	324
P00202511	P05.4	777	31	208	0	0	0	0	121	1137
P00202511	P05.5	314	4	36	0	0	0	0	82	436
P00202511	P05.6	2201	63	146	0	0	0	0	370	2780
P00202511	P06	22377	304	1990	0	0	0	1	7443	32115
P00202511	P07	9476	131	906	0	0	0	0	2204	12717
P00202511	P08	7363	34	245	0	0	0	4	2797	10443
P00202511	P08.1	1041	32	443	0	0	0	0	113	1629
P00202511	P08.2	1703	73	395	0	0	0	0	243	2414
P00202511	P08.3	4246	101	296	0	0	0	0	1302	5945
P00202511	P09	4439	26	149	0	0	0	221	1349	6184
P00202511	P09.1	2341	77	288	0	0	0	0	265	2971
P00202511	P09.2	3674	94	217	0	0	0	0	896	4881
P00202511	P10	15409	103	467	0	0	0	7	5229	21215
P00202511	P10.1	3430	215	722	0	0	0	0	439	4806
P00202511	P10.2	1023	46	135	0	0	0	0	195	1399
P00202511	P10.3	1614	117	276	0	0	0	0	274	2281
P00202511	P10.4	1421	81	208	0	0	0	0	229	1939
P00202511	P18	698	0	11	0	0	0	14	196	919
P00202511	P18.1	2802	46	181	0	0	0	65	674	3768
P00202511	P18.2	280	14	16	0	0	0	0	8	318
P00202511	P18.3	71	3	4	0	0	0	0	3	81
