Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00201911	P01	5579	97	2402	1097	0	315	152	1679	11321
P00201911	P02	9749	84	1335	191	0	144	60	2541	14104
P00201911	P03	13624	100	834	193	0	87	0	3545	18383
P00201911	P04	13050	174	945	208	0	187	0	4011	18575
P00201911	P05	4940	18	170	20	0	116	0	1826	7090
P00201911	P05.1	1430	62	490	36	0	0	0	175	2193
P00201911	P05.2	982	36	102	7	0	0	0	125	1252
P00201911	P05.3	78	0	19	0	0	0	0	9	106
P00201911	P05.4	876	28	168	24	0	0	0	132	1228
P00201911	P05.5	374	11	17	0	0	0	0	102	504
P00201911	P05.6	51	0	3	0	0	0	0	9	63
P00201911	P06	19020	177	1285	107	0	169	1	6089	26848
P00201911	P07	8737	70	558	99	0	67	0	2150	11681
P00201911	P08	4399	6	106	22	0	118	6	2186	6843
P00201911	P08.1	1080	18	306	39	0	0	0	132	1575
P00201911	P08.2	1119	20	114	73	0	0	0	172	1498
P00201911	P08.3	4128	58	213	28	0	0	0	1487	5914
