Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00-202304	P0	0	0	0	0	2740	21367	7859	2826	34793
P01-202304	P1	5597	101	2731	1315	0	28	185	1864	11821
P02-202304	P2	10143	101	1603	259	0	30	72	2695	14903
P03-202304	P3	14683	170	1041	196	0	8	0	3829	19927
P04-202304	P4	17664	191	1368	276	0	19	0	5413	24933
P05-202304	P5	8946	38	318	45	0	17	1	3097	12463
P05-202304	P5.1	1319	60	560	49	0	0	0	146	2134
P05-202304	P5.2	1040	42	137	14	0	0	0	134	1367
P05-202304	P5.3	253	13	71	7	0	0	0	31	375
P05-202304	P5.4	814	33	178	20	0	0	0	122	1167
P05-202304	P5.5	323	7	18	0	0	0	0	82	430
P05-202304	P5.6	2175	62	150	14	0	0	0	363	2764
P06-202304	P6	21209	263	1683	160	0	17	1	7227	30560
P07-202304	P7	9383	100	787	133	0	7	0	2251	12661
P08-202304	P8	5255	15	128	30	0	32	5	2434	7899
P08-202304	P8.1	1132	21	359	35	0	0	0	127	1674
P08-202304	P8.2	1086	39	137	53	0	0	0	193	1508
P08-202304	P8.3	4160	77	226	25	0	0	0	1414	5902
P09-202304	P9	3932	18	161	40	0	4	180	1274	5609
P09-202304	P9.1	1893	47	252	43	0	0	0	245	2480
P09-202304	P9.2	3372	79	181	31	0	0	0	938	4601
P0X-202304	Enum	25135	1901	1929	266	5	8	150	7065	38806
