Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202306	P01	5620	101	2738	1189	0	16	183	1867	11714
P00202306	P02	10164	103	1603	252	0	27	70	2710	14929
P00202306	P03	14681	170	1057	185	0	6	0	3814	19913
P00202306	P04	17894	196	1350	280	0	17	0	5473	25210
P00202306	P05	9065	36	322	42	0	10	1	3142	12618
P00202306	P05.1	1309	57	571	52	0	0	0	148	2137
P00202306	P05.2	1018	44	136	11	0	0	0	142	1351
P00202306	P05.3	247	11	67	6	0	0	0	31	362
P00202306	P05.4	818	35	176	21	0	0	0	126	1176
P00202306	P05.5	323	6	18	0	0	0	0	80	427
P00202306	P05.6	2207	65	150	13	0	0	0	369	2804
P00202306	P06	21314	259	1685	169	0	10	1	7263	30701
P00202306	P07	9376	109	782	128	0	2	0	2227	12624
P00202306	P08	5294	18	119	34	0	28	5	2448	7946
P00202306	P08.1	1144	24	363	35	0	0	0	124	1690
P00202306	P08.2	1071	39	145	53	0	0	0	197	1505
P00202306	P08.3	4160	81	230	26	0	0	0	1416	5913
P00202306	P09	3999	18	157	41	0	0	182	1285	5682
P00202306	P09.1	1941	50	242	43	0	0	0	244	2520
P00202306	P09.2	3448	79	184	30	0	0	0	939	4680
P00202306	P10	14308	84	452	57	0	7	8	5023	19939
P00202306	P10.1	3691	214	704	64	0	0	0	460	5133
P00202306	P10.2	1016	49	132	36	0	0	0	194	1427
P00202306	P10.3	1672	121	309	53	0	0	0	327	2482
P00202306	P10.4	1504	68	198	38	0	0	0	291	2099
P00202306	P18	472	0	5	4	0	1	8	162	652
P00202306	P18.1	2735	45	133	22	0	0	44	679	3658
P00202306	P18.2	55	2	2	1	0	0	0	2	62
P00202306	P18.3	66	2	3	0	0	0	0	2	73
