Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202105	P01	5499	101	2525	955	0	218	180	1751	11229
P00202105	P02	9829	106	1457	178	0	126	68	2592	14358
P00202105	P03	14248	142	939	162	0	84	0	3683	19258
P00202105	P04	17254	215	1296	264	0	177	0	5121	24329
P00202105	P05	6030	21	218	23	0	104	0	2143	8541
P00202105	P05.1	1361	59	529	29	0	0	0	162	2140
P00202105	P05.2	1132	48	143	27	0	0	0	152	1502
P00202105	P05.3	71	0	16	0	0	0	0	9	96
P00202105	P05.4	860	33	181	21	0	0	0	127	1222
P00202105	P05.5	346	10	22	0	0	0	0	90	468
P00202105	P05.6	40	0	2	0	0	0	0	8	50
P00202105	P06	20291	229	1409	141	0	156	1	6674	28908
P00202105	P07	9020	88	704	90	0	45	0	2145	12093
P00202105	P08	4693	12	95	30	0	115	8	2290	7244
P00202105	P08.1	1101	19	322	23	0	0	0	129	1594
P00202105	P08.2	1101	27	129	20	0	0	1	186	1464
P00202105	P08.3	4135	57	227	21	0	0	0	1472	5912
P00202105	P09	4219	50	227	38	0	20	149	1255	5958
P00202105	P09.1	1171	39	151	21	0	0	0	183	1565
P00202105	P09.2	2968	85	182	34	0	0	0	932	4201
P00202105	P10	10865	77	384	64	0	21	5	3573	14989
P00202105	P10.1	3608	231	669	72	0	0	0	489	5069
P00202105	P10.2	1087	46	129	33	0	0	0	190	1485
P00202105	P10.3	1700	125	314	52	0	0	0	343	2534
P00202105	P10.4	3	0	0	0	0	0	0	0	3
P00202105	P18	449	0	9	4	0	2	11	157	632
P00202105	P18.1	2522	62	135	28	0	0	32	619	3398
P00202105	P18.2	48	2	2	1	0	0	0	2	55
P00202105	P18.3	36	1	3	0	0	0	0	1	41
