Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202008	P01	5666	104	2587	1145	0	528	149	1750	11929
P00202008	P02	9931	87	1411	192	0	211	64	2616	14512
P00202008	P03	14203	126	885	191	0	143	0	3650	19199
P00202008	P04	16480	215	1280	272	0	293	0	4906	23447
P00202008	P05	5595	22	185	19	0	192	0	1974	7988
P00202008	P05.1	1458	73	513	36	0	0	0	166	2246
P00202008	P05.2	1067	43	109	18	0	0	0	133	1370
P00202008	P05.3	73	0	21	0	0	0	0	10	104
P00202008	P05.4	971	34	185	23	0	0	0	138	1351
P00202008	P05.5	377	11	21	0	0	0	0	98	507
P00202008	P05.6	48	0	2	0	0	0	0	9	59
P00202008	P06	20100	195	1351	111	0	255	1	6530	28547
P00202008	P07	9090	84	653	101	0	91	0	2148	12167
P00202008	P08	4698	7	111	25	0	181	6	2306	7334
P00202008	P08.1	1153	19	342	50	0	0	0	134	1698
P00202008	P08.2	1220	23	134	72	0	0	1	180	1630
P00202008	P08.3	4302	61	214	27	0	0	0	1528	6132
P00202008	P09	2971	42	267	39	0	21	41	581	3962
P00202008	P10	3643	24	121	29	0	6	0	1205	5028
P00202008	P10.1	2395	133	356	36	0	0	0	356	3276
P00202008	P10.3	1	0	0	0	0	0	0	0	1
