Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202003	P01	5402	90	2404	964	0	464	149	1662	11135
P00202003	P02	9357	77	1300	180	0	188	61	2526	13689
P00202003	P03	13405	92	829	184	0	128	0	3541	18180
P00202003	P04	15990	207	1265	272	0	267	0	4756	22757
P00202003	P05	5129	20	173	20	0	178	0	1903	7423
P00202003	P05.1	1405	64	495	36	0	0	0	166	2166
P00202003	P05.2	1016	38	95	10	0	0	0	128	1287
P00202003	P05.3	75	0	19	0	0	0	0	7	101
P00202003	P05.4	936	27	181	25	0	0	0	133	1302
P00202003	P05.5	363	10	19	0	0	0	0	99	491
P00202003	P05.6	47	0	2	0	0	0	0	10	59
P00202003	P06	19111	186	1287	111	0	232	1	6240	27169
P00202003	P07	8603	75	556	95	0	88	0	2140	11557
P00202003	P08	4461	6	100	21	0	164	6	2252	7010
P00202003	P08.1	1099	19	307	40	0	0	0	133	1598
P00202003	P08.2	1141	21	123	75	0	0	1	174	1535
P00202003	P08.3	4143	55	214	27	0	0	0	1498	5937
P00202003	P09	2682	44	258	43	0	14	38	528	3607
