Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202404	P01	5565	106	2884	1248	0	1	182	1884	11870
P00202404	P02	10207	105	1642	239	0	0	77	2712	14982
P00202404	P03	14874	183	1114	163	0	2	1	3941	20278
P00202404	P04	18205	201	1348	266	0	1	0	5619	25640
P00202404	P05	9431	42	332	46	0	1	1	3244	13097
P00202404	P05.1	1280	71	595	45	0	0	0	147	2138
P00202404	P05.2	992	38	139	17	0	0	0	143	1329
P00202404	P05.3	224	11	56	4	0	0	0	32	327
P00202404	P05.4	815	37	190	13	0	0	0	121	1176
P00202404	P05.5	300	9	20	0	0	0	0	81	410
P00202404	P05.6	2185	56	136	12	0	0	0	374	2763
P00202404	P06	21729	264	1778	176	0	1	1	7385	31334
P00202404	P07	9574	112	812	104	0	0	0	2231	12833
P00202404	P08	5735	21	141	28	0	0	5	2564	8494
P00202404	P08.1	1119	33	388	46	0	0	0	121	1707
P00202404	P08.2	1094	37	155	69	0	0	0	184	1539
P00202404	P08.3	4213	98	244	22	0	0	0	1376	5953
P00202404	P09	4067	23	145	30	0	0	214	1290	5769
P00202404	P09.1	2069	57	271	45	0	0	0	248	2690
P00202404	P09.2	3392	88	177	29	0	0	0	914	4600
P00202404	P10	14617	91	435	56	0	0	13	5155	20367
P00202404	P10.1	3596	211	705	69	0	0	0	440	5021
P00202404	P10.2	1008	56	134	35	0	0	0	196	1429
P00202404	P10.3	1615	115	290	38	0	0	0	311	2369
P00202404	P10.4	1442	67	191	37	0	0	0	257	1994
P00202404	P18	593	0	7	1	0	0	14	184	799
P00202404	P18.1	2741	47	150	7	0	0	66	677	3688
P00202404	P18.2	255	14	6	1	0	0	0	5	281
P00202404	P18.3	61	3	3	0	0	0	0	2	69
