Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202011	P01	5542	99	2507	954	0	404	182	1741	11429
P00202011	P02	9948	93	1448	179	0	188	65	2620	14542
P00202011	P03	14234	131	904	164	0	121	0	3680	19235
P00202011	P04	16753	205	1307	267	0	242	0	4967	23742
P00202011	P05	5573	22	193	21	0	161	0	2007	7978
P00202011	P05.1	1362	58	498	28	0	0	0	159	2105
P00202011	P05.2	1001	40	100	15	0	0	0	128	1284
P00202011	P05.3	69	0	19	0	0	0	0	8	96
P00202011	P05.4	917	31	179	23	0	0	0	137	1287
P00202011	P05.5	359	10	18	0	0	0	0	94	481
P00202011	P05.6	44	0	3	0	0	0	0	7	54
P00202011	P06	19779	197	1351	131	0	206	1	6481	28152
P00202011	P07	9078	86	671	102	0	71	0	2154	12162
P00202011	P08	4606	7	97	25	0	164	9	2281	7189
P00202011	P08.1	1115	19	331	26	0	0	0	133	1624
P00202011	P08.2	1151	22	128	16	0	0	1	176	1494
P00202011	P08.3	4114	56	202	25	0	0	0	1464	5861
P00202011	P09	3098	49	265	39	0	21	42	624	4138
P00202011	P09.1	20	2	3	0	0	0	0	3	28
P00202011	P10	9161	66	315	58	0	17	4	2960	12581
P00202011	P10.1	3266	202	576	71	0	0	0	448	4563
P00202011	P10.2	646	28	71	25	0	0	0	130	900
P00202011	P10.3	1493	115	268	42	0	0	0	297	2215
