Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202512	P01	5427	151	3346	0	0	0	160	1979	11063
P00202512	P02	10422	147	1696	0	0	0	56	2732	15053
P00202512	P03	15043	180	1188	0	0	0	0	3951	20362
P00202512	P04	18717	209	1453	0	0	0	0	5724	26103
P00202512	P05	10260	57	400	0	0	0	1	3460	14178
P00202512	P05.1	1191	78	589	0	0	0	0	143	2001
P00202512	P05.2	972	40	136	0	0	0	0	133	1281
P00202512	P05.3	221	10	70	0	0	0	0	26	327
P00202512	P05.4	769	31	209	0	0	0	0	121	1130
P00202512	P05.5	309	5	37	0	0	0	0	81	432
P00202512	P05.6	2213	63	147	0	0	0	0	371	2794
P00202512	P06	22394	309	1953	0	0	0	1	7462	32119
P00202512	P07	9445	130	900	0	0	0	0	2203	12678
P00202512	P08	7396	35	239	0	0	0	4	2816	10490
P00202512	P08.1	1031	30	442	0	0	0	0	114	1617
P00202512	P08.2	1695	74	399	0	0	0	0	241	2409
P00202512	P08.3	4257	98	305	0	0	0	0	1291	5951
P00202512	P09	4485	22	146	0	0	0	220	1350	6223
P00202512	P09.1	2343	82	282	0	0	0	0	260	2967
P00202512	P09.2	3683	93	206	0	0	0	0	896	4878
P00202512	P10	15466	105	467	0	0	0	7	5239	21284
P00202512	P10.1	3442	217	702	0	0	0	0	439	4800
P00202512	P10.2	1003	47	134	0	0	0	0	198	1382
P00202512	P10.3	1622	116	268	0	0	0	0	278	2284
P00202512	P10.4	1446	82	213	0	0	0	0	229	1970
P00202512	P18	704	0	12	0	0	0	14	198	928
P00202512	P18.1	2822	41	185	0	0	0	65	674	3787
P00202512	P18.2	272	17	16	0	0	0	0	8	313
P00202512	P18.3	73	3	4	0	0	0	0	3	83
