Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202407	P01	5574	108	2858	1304	0	1	185	1888	11918
P00202407	P02	10259	112	1616	260	0	0	75	2745	15067
P00202407	P03	14956	166	1111	157	0	0	1	3952	20343
P00202407	P04	18511	201	1337	258	0	1	0	5682	25990
P00202407	P05	9625	42	333	44	0	1	1	3274	13320
P00202407	P05.1	1295	77	587	52	0	0	0	147	2158
P00202407	P05.2	999	40	146	18	0	0	0	133	1336
P00202407	P05.3	235	11	62	4	0	0	0	31	343
P00202407	P05.4	805	37	198	13	0	0	0	127	1180
P00202407	P05.5	305	7	22	0	0	0	0	82	416
P00202407	P05.6	2216	60	134	12	0	0	0	383	2805
P00202407	P06	22041	261	1786	144	0	1	1	7428	31662
P00202407	P07	9478	107	829	113	0	0	0	2230	12757
P00202407	P08	5804	25	130	29	0	0	6	2585	8579
P00202407	P08.1	1121	30	426	49	0	0	0	114	1740
P00202407	P08.2	1082	36	176	70	0	0	0	185	1549
P00202407	P08.3	4208	100	245	29	0	0	0	1371	5953
P00202407	P09	4164	20	141	30	0	0	220	1307	5882
P00202407	P09.1	2108	63	274	44	0	0	0	260	2749
P00202407	P09.2	3479	88	185	30	0	0	0	922	4704
P00202407	P10	14850	91	431	55	0	0	16	5177	20620
P00202407	P10.1	3621	219	710	66	0	0	0	438	5054
P00202407	P10.2	1021	55	127	35	0	0	0	192	1430
P00202407	P10.3	1656	119	286	61	0	0	0	316	2438
P00202407	P10.4	1439	70	179	31	0	0	0	239	1958
P00202407	P18	602	1	8	3	0	0	14	189	817
P00202407	P18.1	2811	45	167	7	0	0	66	676	3772
P00202407	P18.2	266	15	11	1	0	0	0	5	298
P00202407	P18.3	64	2	2	0	0	0	0	2	70
