Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202109	P01	5531	110	2599	1141	0	167	178	1796	11522
P00202109	P02	9982	109	1486	232	0	100	69	2607	14586
P00202109	P03	14313	158	990	174	0	77	0	3775	19487
P00202109	P04	17264	212	1277	269	0	149	0	5114	24287
P00202109	P05	6312	26	216	25	0	88	0	2222	8891
P00202109	P05.1	1396	66	540	45	0	0	0	166	2213
P00202109	P05.2	1163	49	153	26	0	0	0	147	1538
P00202109	P05.3	68	0	21	0	0	0	0	10	99
P00202109	P05.4	880	33	178	25	0	0	0	124	1240
P00202109	P05.5	353	11	23	0	0	0	0	91	478
P00202109	P05.6	43	0	4	0	0	0	0	7	54
P00202109	P06	20866	237	1466	125	0	125	1	6851	29676
P00202109	P07	9234	93	729	94	0	36	0	2190	12377
P00202109	P08	4914	11	101	29	0	91	7	2345	7499
P00202109	P08.1	1158	22	325	35	0	0	0	130	1670
P00202109	P08.2	1104	34	130	20	0	0	1	183	1472
P00202109	P08.3	4210	59	230	29	0	0	0	1485	6013
P00202109	P09	4338	48	222	39	0	18	159	1318	6142
P00202109	P09.1	1433	46	185	21	0	0	0	208	1893
P00202109	P09.2	3232	89	186	34	0	0	0	976	4517
P00202109	P10	13088	90	425	68	0	17	7	4302	17997
P00202109	P10.1	3475	214	641	66	0	0	0	437	4833
P00202109	P10.2	1115	47	135	35	0	0	0	204	1536
P00202109	P10.3	1799	136	328	50	0	0	0	359	2672
P00202109	P10.4	1440	80	188	39	0	0	0	285	2032
P00202109	P18	481	1	7	4	0	2	13	164	672
P00202109	P18.1	2701	59	143	30	0	0	34	653	3620
P00202109	P18.2	51	1	2	1	0	0	0	2	57
P00202109	P18.3	45	1	3	0	0	0	0	1	50
