Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202001	P01	5553	94	2439	1041	0	407	148	1684	11366
P00202001	P02	9651	79	1325	192	0	170	60	2513	13990
P00202001	P03	13707	99	840	184	0	114	0	3555	18499
P00202001	P04	15701	206	1233	270	0	236	0	4645	22291
P00202001	P05	5103	18	173	20	0	155	0	1889	7358
P00202001	P05.1	1431	62	493	39	0	0	0	172	2197
P00202001	P05.2	1015	40	100	10	0	0	0	129	1294
P00202001	P05.3	77	0	21	0	0	0	0	7	105
P00202001	P05.4	923	30	180	25	0	0	0	138	1296
P00202001	P05.5	378	10	18	0	0	0	0	99	505
P00202001	P05.6	47	0	2	0	0	0	0	10	59
P00202001	P06	19319	191	1314	117	0	205	1	6213	27361
P00202001	P07	8768	74	577	99	0	80	0	2163	11761
P00202001	P08	4439	7	102	21	0	146	7	2230	6952
P00202001	P08.1	1091	20	309	42	0	0	0	132	1594
P00202001	P08.2	1143	20	122	74	0	0	0	178	1537
P00202001	P08.3	4146	53	216	28	0	0	0	1489	5932
P00202001	P09	2476	44	236	41	0	8	37	500	3342
