Season	Oblast	POP_R	POP_V	POP_A	POP_ER	POP_EA	POP_C	POP_O	POP_S	XSUM
P00202603	P00	44	0	84	44	84	0	0	0	128
P00202603	P01	5528	175	3691	111	237	0	164	2019	11577
P00202603	P02	10542	159	1864	185	87	0	58	2762	15385
P00202603	P03	15131	184	1270	169	51	0	0	3972	20557
P00202603	P04	19086	227	1570	184	69	0	0	5768	26651
P00202603	P05	10510	60	443	171	31	0	1	3511	14525
P00202603	P05.1	1195	79	601	7	14	0	0	141	2016
P00202603	P05.2	971	44	141	6	5	0	0	127	1283
P00202603	P05.3	210	10	70	1	3	0	0	25	315
P00202603	P05.4	768	32	232	3	8	0	0	120	1152
P00202603	P05.5	311	7	35	0	3	0	0	78	431
P00202603	P05.6	2136	67	146	6	3	0	0	361	2710
P00202603	P06	22846	349	2156	343	103	0	0	7513	32864
P00202603	P07	9583	140	926	110	58	0	0	2204	12853
P00202603	P08	7422	41	296	124	39	0	4	2812	10575
P00202603	P08.1	1034	37	468	7	16	0	0	117	1656
P00202603	P08.2	1485	67	359	4	6	0	0	212	2123
P00202603	P08.3	4235	97	332	18	13	0	0	1276	5940
P00202603	P09	4122	24	147	45	17	0	219	1087	5599
P00202603	P09.1	2324	84	295	15	5	0	0	248	2951
P00202603	P09.2	2760	83	174	12	3	0	0	480	3497
P00202603	P10	15819	103	518	168	37	0	6	5254	21700
P00202603	P10.1	3455	225	717	20	21	0	0	435	4832
P00202603	P10.2	1010	49	133	3	6	0	0	200	1392
P00202603	P10.3	1618	120	271	11	5	0	0	276	2285
P00202603	P10.4	1435	87	241	8	15	0	0	232	1995
P00202603	P18	725	0	14	7	1	0	17	204	960
P00202603	P18.1	2857	46	187	12	2	0	66	680	3836
P00202603	P18.2	276	17	17	1	0	0	0	8	318
P00202603	P18.3	72	4	2	0	0	0	0	3	81
