Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00201912	P01	5568	95	2399	1056	0	368	152	1690	11328
P00201912	P02	9763	82	1323	191	0	159	60	2549	14127
P00201912	P03	13667	102	822	185	0	101	0	3555	18432
P00201912	P04	15300	195	1177	266	0	212	0	4501	21651
P00201912	P05	5019	17	168	20	0	133	0	1848	7205
P00201912	P05.1	1428	63	482	36	0	0	0	175	2184
P00201912	P05.2	990	39	99	8	0	0	0	127	1263
P00201912	P05.3	77	0	21	0	0	0	0	7	105
P00201912	P05.4	901	28	176	23	0	0	0	135	1263
P00201912	P05.5	373	11	17	0	0	0	0	99	500
P00201912	P05.6	50	0	3	0	0	0	0	9	62
P00201912	P06	19134	180	1279	107	0	187	1	6140	27028
P00201912	P07	8767	72	550	94	0	71	0	2160	11714
P00201912	P08	4408	6	101	22	0	134	6	2223	6900
P00201912	P08.1	1081	18	302	39	0	0	0	132	1572
P00201912	P08.2	1135	19	114	72	0	0	0	174	1514
P00201912	P08.3	4120	57	215	27	0	0	0	1485	5904
