Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202509	P01	5444	142	3393	0	0	0	162	1959	11100
P00202509	P02	10431	144	1708	0	0	0	63	2729	15075
P00202509	P03	15142	178	1205	0	0	0	0	3964	20489
P00202509	P04	18760	207	1460	0	0	0	0	5670	26097
P00202509	P05	10199	56	399	0	0	0	1	3427	14082
P00202509	P05.1	1254	71	585	0	0	0	0	143	2053
P00202509	P05.2	992	40	140	0	0	0	0	139	1311
P00202509	P05.3	226	12	65	0	0	0	0	28	331
P00202509	P05.4	794	32	214	0	0	0	0	122	1162
P00202509	P05.5	322	4	38	0	0	0	0	81	445
P00202509	P05.6	2193	61	144	0	0	0	0	369	2767
P00202509	P06	22705	303	1989	0	0	0	1	7543	32541
P00202509	P07	9493	127	902	0	0	0	0	2219	12741
P00202509	P08	7348	33	234	0	0	0	4	2824	10443
P00202509	P08.1	1080	29	440	0	0	0	0	113	1662
P00202509	P08.2	1712	76	398	0	0	0	0	246	2432
P00202509	P08.3	4371	98	329	0	0	0	0	1327	6125
P00202509	P09	4383	23	149	0	0	0	218	1342	6115
P00202509	P09.1	2302	83	287	0	0	0	0	265	2937
P00202509	P09.2	3671	90	210	0	0	0	0	901	4872
P00202509	P10	15399	97	478	0	0	0	7	5245	21226
P00202509	P10.1	3447	210	731	0	0	0	0	443	4831
P00202509	P10.2	1055	49	139	0	0	0	0	198	1441
P00202509	P10.3	1668	124	292	0	0	0	0	292	2376
P00202509	P10.4	1417	81	209	0	0	0	0	233	1940
P00202509	P18	683	0	11	0	0	0	14	193	901
P00202509	P18.1	2778	43	176	0	0	0	65	670	3732
P00202509	P18.2	274	14	16	0	0	0	0	6	310
P00202509	P18.3	70	2	5	0	0	0	0	3	80
