Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202106	P01	5489	103	2534	1024	0	194	179	1757	11280
P00202106	P02	9798	112	1458	177	0	116	68	2594	14325
P00202106	P03	14129	146	952	169	0	79	0	3699	19174
P00202106	P04	17360	213	1295	264	0	172	0	5149	24456
P00202106	P05	6084	20	215	23	0	101	0	2166	8611
P00202106	P05.1	1365	58	534	31	0	0	0	160	2148
P00202106	P05.2	1147	47	144	23	0	0	0	147	1508
P00202106	P05.3	71	0	18	0	0	0	0	9	98
P00202106	P05.4	870	33	182	21	0	0	0	125	1231
P00202106	P05.5	351	11	22	1	0	0	0	90	475
P00202106	P05.6	40	0	2	0	0	0	0	8	50
P00202106	P06	20374	237	1414	132	0	143	1	6707	29014
P00202106	P07	9038	83	697	92	0	44	0	2138	12093
P00202106	P08	4715	11	93	30	0	108	7	2296	7261
P00202106	P08.1	1120	19	321	31	0	0	0	129	1620
P00202106	P08.2	1120	29	126	20	0	0	1	186	1482
P00202106	P08.3	4153	54	229	23	0	0	0	1480	5939
P00202106	P09	4268	49	228	37	0	20	148	1277	6027
P00202106	P09.1	1248	38	163	22	0	0	0	193	1664
P00202106	P09.2	3092	88	185	33	0	0	0	951	4349
P00202106	P10	11357	80	393	62	0	21	5	3722	15640
P00202106	P10.1	3679	234	670	73	0	0	0	495	5151
P00202106	P10.2	1093	46	129	36	0	0	0	195	1499
P00202106	P10.3	1728	128	314	50	0	0	0	354	2574
P00202106	P10.4	3	0	0	0	0	0	0	0	3
P00202106	P18	461	1	9	4	0	2	13	157	647
P00202106	P18.1	2581	62	137	29	0	0	34	632	3475
P00202106	P18.2	48	2	2	1	0	0	0	2	55
P00202106	P18.3	42	1	3	0	0	0	0	1	47
