Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00201907	P01	5506	92	2284	1085	0	66	187	1619	10839
P00201907	P02	9693	93	1308	207	0	35	56	2505	13897
P00201907	P03	13265	93	767	191	0	14	1	3475	17806
P00201907	P04	11587	164	838	181	0	58	0	3525	16353
P00201907	P05	4221	14	141	19	0	35	0	1571	6001
P00201907	P05.1	1494	64	493	38	0	0	0	184	2273
P00201907	P05.2	689	16	89	7	0	0	0	105	906
P00201907	P05.3	84	0	17	0	0	0	0	9	110
P00201907	P05.4	649	19	133	20	0	0	0	103	924
P00201907	P05.5	398	10	19	0	0	0	0	98	525
P00201907	P05.6	51	0	5	0	0	0	0	8	64
P00201907	P06	17731	146	1111	105	0	36	1	5728	24858
P00201907	P07	8561	60	511	97	0	8	0	2082	11319
P00201907	P08	4446	7	104	22	0	33	5	2193	6810
P00201907	P08.1	1125	17	293	44	0	0	0	128	1607
P00201907	P08.2	1188	20	113	73	0	0	0	179	1573
P00201907	P08.3	4241	58	213	27	0	0	0	1518	6057
