Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202207	P01	5623	114	2620	1359	0	102	180	1828	11826
P00202207	P02	10094	105	1613	238	0	73	74	2632	14830
P00202207	P03	14547	161	1025	165	0	38	0	3775	19711
P00202207	P04	17703	201	1322	277	0	106	0	5296	24909
P00202207	P05	8632	48	290	35	0	73	1	2935	12017
P00202207	P05.1	1358	64	556	47	0	0	0	159	2184
P00202207	P05.2	1068	43	146	14	0	0	0	137	1408
P00202207	P05.3	232	14	67	5	0	0	0	33	351
P00202207	P05.4	878	34	169	22	0	0	0	126	1229
P00202207	P05.5	342	9	18	0	0	0	0	86	455
P00202207	P05.6	2161	66	144	13	0	0	0	345	2729
P00202207	P06	21223	247	1546	171	0	103	1	7024	30320
P00202207	P07	9243	105	739	117	0	28	0	2214	12447
P00202207	P08	5045	15	127	35	0	69	8	2348	7648
P00202207	P08.1	1134	23	374	32	0	0	0	132	1695
P00202207	P08.2	1090	29	127	46	0	0	1	186	1479
P00202207	P08.3	4117	68	212	24	0	0	0	1449	5870
P00202207	P09	3976	27	189	42	0	8	160	1283	5685
P00202207	P09.1	1721	49	238	38	0	0	0	231	2277
P00202207	P09.2	3298	79	180	22	0	0	0	955	4534
P00202207	P10	13839	82	464	62	0	14	10	4752	19223
P00202207	P10.1	3686	220	729	66	0	0	0	465	5166
P00202207	P10.2	1073	50	125	30	0	0	0	197	1475
P00202207	P10.3	1687	120	315	46	0	0	0	315	2483
P00202207	P10.4	1403	69	209	38	0	0	0	288	2007
P00202207	P18	453	3	4	4	0	1	9	162	636
P00202207	P18.1	2685	47	137	29	0	0	36	660	3594
P00202207	P18.2	51	1	2	1	0	0	0	2	57
P00202207	P18.3	49	1	3	0	0	0	0	1	54
