Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202002	P01	5559	94	2470	1048	0	442	149	1690	11452
P00202002	P02	9695	81	1342	188	0	182	61	2522	14071
P00202002	P03	13726	99	853	185	0	124	0	3573	18560
P00202002	P04	15979	211	1273	271	0	261	0	4727	22722
P00202002	P05	5164	19	175	20	0	167	0	1915	7460
P00202002	P05.1	1433	63	500	41	0	0	0	168	2205
P00202002	P05.2	1027	41	100	10	0	0	0	131	1309
P00202002	P05.3	79	0	21	0	0	0	0	7	107
P00202002	P05.4	935	31	182	25	0	0	0	135	1308
P00202002	P05.5	372	9	19	0	0	0	0	100	500
P00202002	P05.6	47	0	2	0	0	0	0	10	59
P00202002	P06	19336	195	1325	117	0	221	1	6267	27463
P00202002	P07	8812	75	576	112	0	84	0	2170	11829
P00202002	P08	4505	6	102	21	0	155	7	2254	7050
P00202002	P08.1	1110	20	313	41	0	0	0	133	1617
P00202002	P08.2	1152	21	126	76	0	0	1	175	1551
P00202002	P08.3	4169	56	218	28	0	0	0	1497	5968
P00202002	P09	2622	45	254	42	0	13	38	518	3532
