Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202202	P01	5630	113	2670	1107	0	135	183	1824	11662
P00202202	P02	10083	107	1589	226	0	77	70	2616	14769
P00202202	P03	14466	154	1036	152	0	53	0	3765	19626
P00202202	P04	17386	208	1307	273	0	128	0	5196	24502
P00202202	P05	8209	44	273	27	0	79	1	2810	11446
P00202202	P05.1	1346	63	567	41	0	0	0	159	2176
P00202202	P05.2	1089	45	143	19	0	0	0	137	1433
P00202202	P05.3	206	11	57	4	0	0	0	31	309
P00202202	P05.4	864	32	171	26	0	0	0	119	1212
P00202202	P05.5	345	10	20	0	0	0	0	83	458
P00202202	P05.6	1949	56	132	13	0	0	0	300	2450
P00202202	P06	20871	236	1527	177	0	110	1	6857	29784
P00202202	P07	9268	101	760	93	0	32	0	2216	12471
P00202202	P08	4970	14	98	29	0	79	9	2316	7516
P00202202	P08.1	1121	25	346	29	0	0	0	125	1646
P00202202	P08.2	1079	32	129	26	0	0	1	184	1451
P00202202	P08.3	4065	61	222	21	0	0	0	1422	5791
P00202202	P09	4438	37	220	35	0	17	162	1300	6209
P00202202	P09.1	1570	53	199	24	0	0	0	211	2057
P00202202	P09.2	3389	84	193	40	0	0	0	1037	4743
P00202202	P10	13525	80	464	63	0	17	9	4634	18792
P00202202	P10.1	3536	219	716	74	0	0	0	453	4998
P00202202	P10.2	1069	47	127	34	0	0	0	190	1467
P00202202	P10.3	1676	114	312	45	0	0	0	310	2457
P00202202	P10.4	1487	82	208	39	0	0	0	300	2116
P00202202	P18	511	1	7	4	0	2	13	174	712
P00202202	P18.1	2788	60	142	29	0	0	34	661	3714
P00202202	P18.2	54	1	3	1	0	0	0	2	61
P00202202	P18.3	50	1	3	0	0	0	0	1	55
