Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202101	P01	5515	101	2479	894	0	327	179	1733	11228
P00202101	P02	9916	102	1432	178	0	157	67	2632	14485
P00202101	P03	14310	131	913	160	0	100	0	3693	19308
P00202101	P04	16733	213	1296	246	0	213	0	4998	23700
P00202101	P05	5788	20	196	20	0	133	0	2072	8231
P00202101	P05.1	1364	59	508	26	0	0	0	160	2117
P00202101	P05.2	1096	46	124	19	0	0	0	142	1427
P00202101	P05.3	67	0	18	0	0	0	0	9	94
P00202101	P05.4	869	33	168	23	0	0	0	124	1217
P00202101	P05.5	352	9	21	0	0	0	0	92	474
P00202101	P05.6	42	0	2	0	0	0	0	8	52
P00202101	P06	19730	207	1366	130	0	185	1	6487	28113
P00202101	P07	9066	84	661	104	0	54	0	2160	12129
P00202101	P08	4616	9	104	25	0	139	8	2276	7178
P00202101	P08.1	1096	20	327	25	0	0	0	131	1599
P00202101	P08.2	1150	24	118	16	0	0	1	182	1491
P00202101	P08.3	4114	57	205	21	0	0	0	1467	5864
P00202101	P09	3302	46	267	43	0	22	47	771	4498
P00202101	P09.1	140	10	20	1	0	0	0	9	180
P00202101	P09.2	1	0	0	0	0	0	0	0	1
P00202101	P10	10082	76	354	65	0	19	4	3287	13887
P00202101	P10.1	3429	215	608	78	0	0	0	467	4797
P00202101	P10.2	966	47	125	33	0	0	0	176	1347
P00202101	P10.3	1591	126	287	45	0	0	0	324	2373
P00202101	P10.4	2	0	0	0	0	0	0	0	2
