Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00201908	P01	5539	93	2312	1110	0	143	185	1638	11020
P00201908	P02	9667	90	1323	201	0	63	55	2529	13928
P00201908	P03	13391	94	775	197	0	34	0	3499	17990
P00201908	P04	11817	162	865	187	0	100	0	3584	16715
P00201908	P05	4109	11	134	19	0	61	0	1552	5886
P00201908	P05.1	1391	62	484	35	0	0	0	168	2140
P00201908	P05.2	650	16	84	7	0	0	0	93	850
P00201908	P05.3	79	0	17	0	0	0	0	8	104
P00201908	P05.4	589	19	125	20	0	0	0	100	853
P00201908	P05.5	349	8	17	0	0	0	0	97	471
P00201908	P05.6	46	0	1	0	0	0	0	9	56
P00201908	P06	16840	146	1089	106	0	79	1	5527	23788
P00201908	P07	8592	62	509	99	0	19	0	2105	11386
P00201908	P08	4476	7	107	23	0	59	5	2195	6872
P00201908	P08.1	1129	18	292	44	0	0	0	130	1613
P00201908	P08.2	1198	20	118	72	0	0	0	178	1586
P00201908	P08.3	4245	59	215	27	0	0	0	1506	6052
