Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202507	P01	5494	143	3400	0	0	0	159	1926	11122
P00202507	P02	10407	138	1731	0	0	0	64	2721	15061
P00202507	P03	15070	185	1168	0	0	0	0	3942	20365
P00202507	P04	18925	204	1482	0	0	0	0	5709	26320
P00202507	P05	10085	47	388	0	0	0	1	3407	13928
P00202507	P05.1	1265	69	597	0	0	0	0	143	2074
P00202507	P05.2	1002	42	141	0	0	0	0	137	1322
P00202507	P05.3	224	11	63	0	0	0	0	27	325
P00202507	P05.4	794	35	215	0	0	0	0	125	1169
P00202507	P05.5	318	5	37	0	0	0	0	81	441
P00202507	P05.6	2186	58	143	0	0	0	0	367	2754
P00202507	P06	22531	297	1967	0	0	0	1	7523	32319
P00202507	P07	9486	124	895	0	0	0	0	2212	12717
P00202507	P08	7175	34	226	0	0	0	4	2804	10243
P00202507	P08.1	1096	27	448	0	0	0	0	110	1681
P00202507	P08.2	1654	74	382	0	0	0	0	242	2352
P00202507	P08.3	4366	97	313	0	0	0	0	1325	6101
P00202507	P09	4294	21	148	0	0	0	210	1332	6005
P00202507	P09.1	2257	81	282	0	0	0	0	260	2880
P00202507	P09.2	3632	90	210	0	0	0	0	904	4836
P00202507	P10	15390	96	481	0	0	0	7	5246	21220
P00202507	P10.1	3555	213	757	0	0	0	0	438	4963
P00202507	P10.2	1053	50	129	0	0	0	0	201	1433
P00202507	P10.3	1657	119	292	0	0	0	0	293	2361
P00202507	P10.4	1396	80	208	0	0	0	0	238	1922
P00202507	P18	672	0	13	0	0	0	14	193	892
P00202507	P18.1	2776	46	170	0	0	0	64	663	3719
P00202507	P18.2	268	15	17	0	0	0	0	5	305
P00202507	P18.3	65	1	4	0	0	0	0	3	73
