Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00201909	P01	5569	92	2371	1085	0	198	186	1646	11147
P00201909	P02	9680	91	1337	195	0	93	57	2540	13993
P00201909	P03	13479	101	802	215	0	48	0	3509	18154
P00201909	P04	12098	165	897	192	0	126	0	3633	17111
P00201909	P05	4234	11	144	21	0	82	0	1603	6095
P00201909	P05.1	1414	60	492	39	0	0	0	176	2181
P00201909	P05.2	680	20	83	7	0	0	0	94	884
P00201909	P05.3	76	0	17	0	0	0	0	8	101
P00201909	P05.4	599	18	127	20	0	0	0	101	865
P00201909	P05.5	359	10	17	0	0	0	0	99	485
P00201909	P05.6	45	0	1	0	0	0	0	9	55
P00201909	P06	17205	150	1112	103	0	109	1	5620	24300
P00201909	P07	8638	63	530	104	0	36	0	2125	11496
P00201909	P08	4512	7	113	35	0	75	5	2216	6963
P00201909	P08.1	1131	17	300	44	0	0	0	129	1621
P00201909	P08.2	1194	19	117	71	0	0	0	175	1576
P00201909	P08.3	4259	61	215	28	0	0	0	1509	6072
