Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00201910	P01	5562	89	2374	1082	0	256	151	1668	11182
P00201910	P02	9726	88	1314	190	0	119	57	2553	14047
P00201910	P03	13537	106	816	193	0	71	0	3538	18261
P00201910	P04	12387	165	908	197	0	158	0	3782	17597
P00201910	P05	4379	13	151	21	0	96	0	1655	6315
P00201910	P05.1	1411	63	489	39	0	0	0	174	2176
P00201910	P05.2	711	21	87	6	0	0	0	97	922
P00201910	P05.3	76	0	19	0	0	0	0	9	104
P00201910	P05.4	616	18	136	19	0	0	0	106	895
P00201910	P05.5	375	12	18	0	0	0	0	100	505
P00201910	P05.6	47	0	1	0	0	0	0	9	57
P00201910	P06	17667	151	1150	101	0	134	1	5750	24954
P00201910	P07	8690	67	540	98	0	51	0	2144	11590
P00201910	P08	4372	6	103	25	0	96	5	2155	6762
P00201910	P08.1	1065	17	294	41	0	0	0	127	1544
P00201910	P08.2	1112	20	112	72	0	0	0	169	1485
P00201910	P08.3	4092	58	212	28	0	0	0	1474	5864
