Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202401	P01	5547	105	2852	1194	0	1	184	1879	11762
P00202401	P02	10174	112	1596	229	0	0	72	2730	14913
P00202401	P03	14799	164	1104	190	0	2	1	3861	20121
P00202401	P04	17987	208	1344	278	0	1	0	5539	25357
P00202401	P05	9338	41	314	40	0	1	1	3189	12924
P00202401	P05.1	1285	65	590	50	0	0	0	144	2134
P00202401	P05.2	987	39	132	11	0	0	0	138	1307
P00202401	P05.3	241	12	62	4	0	0	0	30	349
P00202401	P05.4	795	34	177	12	0	0	0	120	1138
P00202401	P05.5	310	9	19	1	0	0	0	80	419
P00202401	P05.6	2284	64	148	13	0	0	0	374	2883
P00202401	P06	21453	254	1762	168	0	2	1	7328	30968
P00202401	P07	9480	110	794	124	0	0	0	2227	12735
P00202401	P08	5533	19	132	30	0	1	6	2503	8224
P00202401	P08.1	1123	26	391	45	0	0	0	121	1706
P00202401	P08.2	1058	42	156	51	0	0	0	185	1492
P00202401	P08.3	4176	94	230	22	0	0	0	1374	5896
P00202401	P09	4120	24	157	39	0	0	202	1292	5834
P00202401	P09.1	2066	51	265	41	0	0	0	249	2672
P00202401	P09.2	3528	88	177	30	0	0	0	949	4772
P00202401	P10	14328	87	434	56	0	1	12	5099	20017
P00202401	P10.1	3578	214	697	67	0	0	0	434	4990
P00202401	P10.2	997	54	135	28	0	0	0	187	1401
P00202401	P10.3	1631	114	301	41	0	0	0	307	2394
P00202401	P10.4	1415	68	183	40	0	0	0	257	1963
P00202401	P18	573	0	8	5	0	1	15	177	779
P00202401	P18.1	2805	49	126	24	0	0	63	688	3755
P00202401	P18.2	217	13	4	1	0	0	0	4	239
P00202401	P18.3	64	3	4	0	0	0	0	2	73
