Season	Oblast	POP_R	POP_V	POP_A	POP_ER	POP_EA	POP_C	POP_O	POP_S	XSUM
P00202604	P00	52	0	104	52	104	0	0	0	156
P00202604	P01	5547	169	3707	103	215	0	167	2029	11619
P00202604	P02	10542	161	1852	175	69	0	55	2748	15358
P00202604	P03	15198	188	1285	164	51	0	0	3970	20641
P00202604	P04	19189	224	1588	168	66	0	0	5814	26815
P00202604	P05	10534	63	440	170	27	0	1	3513	14551
P00202604	P05.1	1197	78	598	7	14	0	0	140	2013
P00202604	P05.2	954	45	140	7	5	0	0	129	1268
P00202604	P05.3	206	11	69	1	2	0	0	25	311
P00202604	P05.4	755	34	236	5	7	0	0	122	1147
P00202604	P05.5	314	7	37	0	3	0	0	75	433
P00202604	P05.6	2132	63	141	5	5	0	0	352	2688
P00202604	P06	22886	353	2166	313	86	0	0	7541	32946
P00202604	P07	9595	138	922	104	50	0	0	2209	12864
P00202604	P08	7605	41	311	114	35	0	4	2858	10819
P00202604	P08.1	1048	37	468	9	15	0	0	121	1674
P00202604	P08.2	1649	74	389	4	8	0	0	234	2346
P00202604	P08.3	4233	95	339	14	10	0	0	1279	5946
P00202604	P09	4529	27	155	42	15	0	236	1360	6307
P00202604	P09.1	2355	88	293	14	6	0	0	256	2992
P00202604	P09.2	3635	87	205	10	3	0	0	853	4780
P00202604	P10	15957	105	533	167	32	0	6	5275	21876
P00202604	P10.1	3466	221	712	20	19	0	0	439	4838
P00202604	P10.2	1015	49	135	2	5	0	0	198	1397
P00202604	P10.3	1627	120	267	11	6	0	0	278	2292
P00202604	P10.4	1446	87	237	7	8	0	0	240	2010
P00202604	P18	727	0	12	6	0	0	17	198	954
P00202604	P18.1	2718	44	177	13	2	0	68	653	3660
P00202604	P18.2	279	18	15	2	0	0	0	10	322
P00202604	P18.3	77	4	1	0	0	0	0	3	85
P00202604	P32	0	0	0	0	0	0	0	1	1
